training_size,cost,gamma,seeds,total,correct,testfold_name,accuracy,misclassification
108.0,100.0,0.0,54392,11,6,Fold03,0.5454545454545454,0.4545454545454546
108.0,100.0,0.0,54392,12,6,Fold04,0.5,0.5
108.0,100.0,0.0,54392,10,5,Fold05,0.5,0.5
108.0,100.0,0.0,54392,11,6,Fold06,0.5454545454545454,0.4545454545454546
108.0,100.0,0.0,54392,11,6,Fold07,0.5454545454545454,0.4545454545454546
108.0,100.0,0.0,54392,11,6,Fold08,0.5454545454545454,0.4545454545454546
108.0,100.0,0.0,54392,11,6,Fold09,0.5454545454545454,0.4545454545454546
108.0,100.0,0.0,54392,11,6,Fold10,0.5454545454545454,0.4545454545454546
540.0,100.0,0.0,22641,54,32,Fold01,0.5925925925925926,0.40740740740740744
540.0,100.0,0.0,22641,54,32,Fold02,0.5925925925925926,0.40740740740740744
540.0,100.0,0.0,22641,53,31,Fold03,0.5849056603773585,0.41509433962264153
540.0,100.0,0.0,22641,54,31,Fold04,0.5740740740740741,0.42592592592592593
540.0,100.0,0.0,22641,54,32,Fold05,0.5925925925925926,0.40740740740740744
540.0,100.0,0.0,22641,54,31,Fold06,0.5740740740740741,0.42592592592592593
540.0,100.0,0.0,22641,54,31,Fold07,0.5740740740740741,0.42592592592592593
540.0,100.0,0.0,22641,54,32,Fold08,0.5925925925925926,0.40740740740740744
540.0,100.0,0.0,22641,55,32,Fold09,0.5818181818181818,0.4181818181818182
540.0,100.0,0.0,22641,54,32,Fold10,0.5925925925925926,0.40740740740740744
1347.0,100.0,0.0,48442,134,76,Fold01,0.5671641791044776,0.4328358208955224
1347.0,100.0,0.0,48442,134,76,Fold02,0.5671641791044776,0.4328358208955224
1347.0,100.0,0.0,48442,135,76,Fold03,0.562962962962963,0.437037037037037
1347.0,100.0,0.0,48442,135,76,Fold04,0.562962962962963,0.437037037037037
1347.0,100.0,0.0,48442,135,76,Fold05,0.562962962962963,0.437037037037037
1347.0,100.0,0.0,48442,134,76,Fold06,0.5671641791044776,0.4328358208955224
1347.0,100.0,0.0,48442,135,76,Fold07,0.562962962962963,0.437037037037037
1347.0,100.0,0.0,48442,135,76,Fold08,0.562962962962963,0.437037037037037
1347.0,100.0,0.0,48442,136,77,Fold09,0.5661764705882353,0.4338235294117647
1347.0,100.0,0.0,48442,134,76,Fold10,0.5671641791044776,0.4328358208955224
108.0,200.0,0.0,79277,10,7,Fold01,0.7,0.30000000000000004
108.0,200.0,0.0,79277,11,7,Fold02,0.6363636363636364,0.36363636363636365
108.0,200.0,0.0,79277,11,7,Fold03,0.6363636363636364,0.36363636363636365
108.0,200.0,0.0,79277,11,7,Fold04,0.6363636363636364,0.36363636363636365
108.0,200.0,0.0,79277,11,7,Fold05,0.6363636363636364,0.36363636363636365
108.0,200.0,0.0,79277,11,7,Fold06,0.6363636363636364,0.36363636363636365
108.0,200.0,0.0,79277,10,7,Fold07,0.7,0.30000000000000004
108.0,200.0,0.0,79277,11,7,Fold08,0.6363636363636364,0.36363636363636365
108.0,200.0,0.0,79277,11,7,Fold09,0.6363636363636364,0.36363636363636365
108.0,200.0,0.0,79277,11,7,Fold10,0.6363636363636364,0.36363636363636365
540.0,200.0,0.0,599,54,32,Fold01,0.5925925925925926,0.40740740740740744
540.0,200.0,0.0,599,55,32,Fold02,0.5818181818181818,0.4181818181818182
540.0,200.0,0.0,599,53,31,Fold03,0.5849056603773585,0.41509433962264153
540.0,200.0,0.0,599,54,31,Fold04,0.5740740740740741,0.42592592592592593
540.0,200.0,0.0,599,55,32,Fold05,0.5818181818181818,0.4181818181818182
540.0,200.0,0.0,599,54,32,Fold06,0.5925925925925926,0.40740740740740744
540.0,200.0,0.0,599,53,31,Fold07,0.5849056603773585,0.41509433962264153
540.0,200.0,0.0,599,54,32,Fold08,0.5925925925925926,0.40740740740740744
540.0,200.0,0.0,599,54,32,Fold09,0.5925925925925926,0.40740740740740744
540.0,200.0,0.0,599,54,32,Fold10,0.5925925925925926,0.40740740740740744
1347.0,200.0,0.0,18766,135,79,Fold01,0.5851851851851851,0.41481481481481486
1347.0,200.0,0.0,18766,135,79,Fold02,0.5851851851851851,0.41481481481481486
1347.0,200.0,0.0,18766,135,79,Fold03,0.5851851851851851,0.41481481481481486
1347.0,200.0,0.0,18766,135,79,Fold04,0.5851851851851851,0.41481481481481486
1347.0,200.0,0.0,18766,135,79,Fold05,0.5851851851851851,0.41481481481481486
